ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
73732,с.,Търносливка,KRZ,KRZ02,KRZ02-01,3,8,7,1864,08,4828
73746,с.,Търняне,VID,VID09,VID09-00,3,7,2,1864,05,4829
73750,с.,Търсино,KNL,KNL29,KNL29-00,3,8,7,1864,09,4830
73763,с.,Търхово,GAB,GAB29,GAB29-00,3,8,5,1864,07,4831
73777,с.,Търън,SML,SML31,SML31-38,3,5,7,1864,20,4832
73780,с.,Тюленово,DOB,DOB29,DOB29-00,3,8,1,1864,24,4833
73794,с.,Тюркмен,PDV,PDV07,PDV07-00,3,7,3,1864,15,4834
73804,с.,Тютюнче,KRZ,KRZ08,KRZ08-10,3,8,5,1864,08,4835
73818,с.,Тянево,DOB,DOB15,DOB15-00,3,7,3,1864,24,4836
73821,с.,Тянево,HKV,HKV29,HKV29-00,3,7,3,1864,26,4837
75013,с.,Угледно,TGV,TGV22,TGV22-00,3,7,5,1864,25,4838
75023,с.,Углярци,PER,PER36,PER36-00,3,8,7,1864,13,4839
75037,с.,Угорелец,GAB,GAB29,GAB29-00,3,8,6,1864,07,4840
75040,с.,Угорялковци,VTR,VTR13,VTR13-00,3,8,5,1864,04,4841
75054,гр.,Угърчин,LOV,LOV36,LOV36-00,1,5,4,1864,10,4842
75068,с.,Узово,DOB,DOB12,DOB12-00,3,8,3,1864,24,4843
75085,с.,Узунджово,HKV,HKV34,HKV34-34,3,5,3,1864,26,4844
75099,с.,Узуните,GAB,GAB05,GAB05-00,3,8,5,1864,07,4845
75254,с.,Узуново,PDV,PDV01,PDV01-00,3,8,7,1864,15,4846
75112,с.,Умаревци,LOV,LOV18,LOV18-00,3,7,3,1864,10,4847
75139,с.,Урвата,GAB,GAB35,GAB35-00,3,8,6,1864,07,4848
75143,с.,Уровене,VRC,VRC21,VRC21-00,3,7,3,1864,06,4849
75157,с.,Уручевци,SML,SML16,SML16-00,3,8,7,1864,20,4850
75174,с.,Усойка,KNL,KNL05,KNL05-10,3,6,5,1864,09,4851
75188,с.,Устина,PDV,PDV26,PDV26-28,3,5,4,1864,15,4852
75191,с.,Устрем,HKV,HKV32,HKV32-15,3,6,2,1864,26,4853
